公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
AH,4C,JH,7D,9S,488,8D,AS,9D,6C,1
JH,5D,2D,TH,6D,249,8H,QC,9D,KD,0
6C,AD,AS,2S,7H,211,KH,QH,KD,7C,0
6D,QC,9H,7S,8S,164,JC,AC,8D,7D,0
3C,9S,6H,4D,5D,390,TD,QS,7S,TH,0
AC,QH,TD,5H,3S,106,9H,JD,QC,6C,0
KS,7H,6S,2C,TC,159,6C,4C,8S,6D,0
3H,KC,AD,4H,TC,419,2C,6C,7H,KS,0
3D,JS,3H,5S,JH,310,6D,JD,TD,9H,1
4D,4S,4C,QH,7S,186,8H,7C,JH,2D,1
KS,JD,5C,8C,4H,294,6H,8S,5S,JC,0
QD,6D,9H,JS,5H,245,4H,9D,QC,JH,0
7C,KS,7S,QD,TH,24,AH,4S,6D,AD,0
7C,KD,7H,AS,9C,115,4H,QH,KS,3S,0
QC,8S,3C,QH,AS,378,3H,6H,6D,JS,1
6H,9D,7C,9C,2S,168,2C,AS,JC,JH,0
9D,3H,2H,8H,6C,408,2C,6S,5C,9C,1
7C,AH,2S,TS,QS,80,6S,6H,7H,AC,0
3C,9D,QC,KS,AS,72,5D,TD,QD,7S,0
TD,QS,JC,8S,JD,304,KH,5H,7H,2D,1
AS,8D,3C,4C,QC,401,TS,6S,7D,QD,0
JC,7D,KS,3S,4S,218,9S,JS,3C,AH,1
8C,8D,KS,5S,9H,490,7D,9C,KD,2H,0
TD,4S,AD,7C,JC,415,QS,6S,9C,8C,0
3C,9H,7S,TC,6H,479,AH,QS,TS,7H,0
9C,5S,7H,4C,KS,398,3C,8C,7D,5C,0
QC,9D,6H,AD,5D,459,QS,QH,JC,4S,1
TC,QH,8H,JS,7S,61,8D,6S,KS,4H,1
JH,2H,6S,JD,4S,389,AC,3C,9S,QH,1
4S,2D,8H,AC,2H,24,6C,7C,3H,JC,0
QC,8C,QS,5C,6C,51,4C,7S,9C,QH,1
TD,5D,QH,4H,KD,384,JD,6D,6S,AC,1
2H,AS,KC,6H,3C,353,9S,7S,JC,KD,0
2C,QS,8C,2S,9D,198,7H,6H,7C,JD,0
7C,KS,KH,4H,8C,30,7S,5S,4S,6C,1
4H,KS,9H,9S,2H,87,TC,JH,TS,JS,0
3C,7S,QH,6C,2H,390,AC,3S,9D,TD,1
KH,2D,6C,9C,3D,447,AH,TC,QS,5S,1
AH,4H,4C,3D,6S,51,3S,QC,2C,6H,0
6S,JS,JH,AS,5S,263,8D,2C,TC,KH,0
4C,TS,8D,AH,9H,216,7H,8C,3C,TH,0
AD,QD,5S,2C,6D,272,QH,9H,TC,QS,0
JC,2S,2H,JD,9H,335,QH,KC,4C,7C,1
9D,9C,5D,2H,3S,410,4H,KD,3D,4D,0
7S,5S,6S,8C,AD,263,9H,3S,AH,KH,1
QC,TH,KD,2H,3C,398,KS,8S,9S,2S,1
3S,7D,TC,5D,2S,306,JS,JH,7C,5S,0
2C,JC,5S,3S,TC,69,5D,QD,KH,9C,1
5D,4C,4S,5S,6S,151,7H,9H,2C,8H,1
4D,6D,KD,JD,QC,41,AH,JS,JH,7H,1
8D,AD,KS,6C,2S,386,6D,3D,9D,QC,1
AH,AD,TD,TC,5D,471,QS,5S,2D,3S,0
KH,TS,9C,7D,6D,455,3C,KC,TD,5H,1
8S,AH,6C,3D,9C,39,QS,3H,TD,QC,1
3H,TD,8H,KS,KC,10,7S,9D,JD,QH,0
QS,JH,KD,TD,8S,134,TC,2S,4D,2H,1
5D,3H,AC,5H,3C,156,2H,3D,7C,TS,1
3H,7C,9H,2C,AH,377,JC,KS,4D,5D,0
6D,TH,QH,8D,7C,406,TD,8S,AD,5C,1
5C,AS,2D,TC,2H,404,2S,8D,6C,7S,1
5S,7H,2D,AH,5C,192,QD,2C,TC,2S,0
TS,4H,JS,3S,KC,13,3D,AH,3C,2H,1
2S,2C,8H,6S,JD,262,6D,4D,TS,QC,1
4D,TH,AH,AC,3D,396,JC,3S,TC,5D,0
9D,2C,7H,7S,JS,357,8D,6C,5S,6S,1
4C,4S,KC,9C,5D,94,2H,5C,QH,JS,1
5H,AH,6S,7S,5D,397,QH,TC,KD,2D,0
JC,TC,2D,3S,JS,244,TD,7C,7D,6C,1
5H,7S,JD,6D,6H,271,JH,TD,9C,7D,1
5D,KH,AS,4H,QC,388,TS,JC,AC,9C,1
7S,2D,6S,QD,QH,468,5H,9H,5S,KC,0
6S,8S,2D,QD,JH,404,6D,TS,4S,9S,1
TD,AH,8D,JH,3H,58,TH,4S,9D,6S,1
6H,AS,3C,6D,KS,111,4C,7D,QD,QH,0
6C,JD,7H,6S,TD,14,QH,JH,5C,QD,1
TC,KD,6H,TS,3H,327,8S,7D,2C,7H,1
4C,KC,KS,QD,4S,146,7S,AH,7H,6D,1
AC,9C,JD,JC,AD,54,8S,AS,KH,7S,1
9D,5D,7H,KD,8H,326,QC,KC,TS,7D,1
8D,QH,9D,TS,TD,442,7H,5H,TC,2H,0
3S,3D,7C,8S,7H,251,8D,AH,JH,4D,1
6S,7H,8C,4H,6H,242,2D,AH,7C,TS,0
JC,4D,AH,7C,6S,263,5D,8D,5S,6C,1
QH,3S,JC,QD,9H,212,KH,2S,3H,9D,0
4C,6D,TS,TC,2C,208,7S,7H,QD,TD,0
7C,6D,AC,4S,9H,201,JD,5D,5C,JS,0
JC,9H,QC,TC,TH,68,8D,KC,8S,6C,1
AC,JS,QS,4H,QH,14,7D,QC,AD,8S,1
4H,7D,9S,3S,2C,500,KH,QS,JD,JC,0
3H,JS,TH,8C,JH,421,AD,2S,JD,3D,0
JS,9C,3D,JC,KS,418,5C,8S,2H,QS,0
4H,9S,TD,5H,QD,445,5S,3H,TS,2D,0
9H,2S,5H,QH,4D,169,JS,5D,TH,5S,1
2S,TS,8H,KC,9D,434,JC,4S,6C,3C,1
9S,6S,TS,QS,KS,299,8H,3C,2D,JD,0
KD,2H,JD,7S,6H,436,KH,2S,QC,6S,1
KH,3C,3S,JS,6S,481,7S,JC,7D,9C,1
7H,QD,TD,5S,JC,193,8S,2H,JS,2C,0
5C,8D,4D,7H,QS,243,8H,TC,TH,JC,1
JS,2D,3S,6S,7D,475,JD,6C,TS,KC,1
8D,QS,4S,2S,2H,118,6C,JS,7D,9S,1
KH,2S,4D,AS,8S,49,5S,7H,9H,6D,0
5C,TH,QD,7D,5D,489,5H,3D,2H,6S,1
3S,7C,KC,7D,5S,444,AD,6S,QS,AS,0
JC,3S,TC,KH,5S,168,AD,3H,5H,7C,0
2H,9D,7D,KD,7C,321,6C,9H,3S,3C,1
9C,QH,AD,6D,JC,50,6C,8D,7C,8S,1
AH,4C,TS,7H,6H,127,8H,5C,3S,9S,1
JS,4S,KD,AC,5H,126,QC,QH,KS,2D,0
9C,QS,9H,5H,7C,131,QC,5C,8C,QH,0
KD,5C,2D,7C,8H,15,JH,7D,TH,TC,0
4H,5H,6S,KS,8S,149,TC,QC,2D,8C,0
KC,JS,TD,5H,3D,386,2H,3C,9C,AS,1
3D,5S,6C,KH,QC,181,2D,JS,7H,KS,0
3C,JS,3S,TH,QC,235,JC,6C,KS,8D,1
4C,7D,3H,9S,QC,17,KC,KS,7S,KH,1
6H,9S,2H,AS,9C,242,9H,9D,2D,AD,1
TC,4D,9D,8S,AH,454,7C,JS,5D,8H,1
8S,2H,QD,5C,AD,142,JC,7D,KD,7H,0
JD,QC,8D,7D,8S,223,3H,KH,7C,7S,0
6H,QS,JH,JS,3S,166,5S,4D,2H,7D,0
2D,3D,TC,KD,4C,422,7S,7D,3C,8H,1
3S,5H,QH,KS,2S,69,4C,9C,3C,KD,0
JD,5S,9C,KH,3D,294,2H,8D,7S,TH,0
QH,2C,6H,2D,7D,27,QD,5D,AD,3H,1
9H,2C,4S,4H,JC,36,JH,TS,QC,7S,1
2C,5S,3D,8S,KH,275,4C,JS,6H,2S,0
5S,4H,JD,TC,AS,308,AD,7H,QS,TD,1
6S,5C,9D,5D,3S,127,8D,6D,KC,JD,1
4D,8D,6D,9S,TS,415,3S,JH,2S,QC,0
9S,7S,6C,5D,KH,111,KD,2D,JC,TH,1
QD,TH,TC,TS,JS,124,5S,KS,3D,3S,0
3H,KH,2C,3D,4D,134,8H,KS,8S,TS,1
9S,2H,2S,QH,9C,67,JS,5D,2D,5S,0
7D,2C,9S,4S,5C,354,9H,2H,8D,KH,1
3C,4C,KD,JH,9H,369,AD,TD,3H,3D,0
7D,5D,KS,9C,TS,364,4H,JD,6S,2H,1
3D,KC,2D,QD,6H,162,TH,9H,AD,4S,0
TC,4S,8C,8D,9C,375,2C,TH,KD,KC,0
JC,4C,3S,2S,TS,71,KD,3D,8C,QS,1
6D,7D,TH,6S,6C,30,4H,7S,4D,5D,1
AS,4S,QC,7S,6C,179,TS,3S,3D,2S,1
TH,AH,9H,8S,KS,172,3H,6S,5D,AC,0
TD,9S,9C,JS,2D,115,TC,3H,JD,3C,0
6D,AC,5C,3H,5S,391,9C,8H,4D,2S,0
8C,KD,JH,QD,4H,177,5C,9D,TH,8S,0
2S,QS,2D,7D,JC,439,7H,8C,AH,AS,0
TS,2S,5C,3H,AS,407,7C,5D,4D,9D,0
9S,QC,6C,7H,9C,450,7S,4H,8H,QH,0
8H,KH,AC,TD,7C,381,2H,TC,3C,AH,0
6S,4C,JD,8D,8H,135,5C,KC,TD,6H,0
7S,4D,QS,2H,AD,207,8H,3C,5S,KS,0
5S,2D,KS,6C,8C,418,AS,3D,7C,JH,1
JC,6D,8C,2S,9C,53,KC,3H,7S,8D,0
3C,7S,7D,QC,3H,394,TH,2D,2H,6S,0
6D,9S,6S,KS,2S,465,5D,KC,QC,6C,0
KS,QH,7H,4D,TD,367,4C,KH,AC,2H,1
6H,KS,TD,AC,AS,358,5H,3D,9C,5C,0
8C,TS,2H,AH,KH,107,9D,KC,7H,6S,1
2H,TC,AD,KH,6C,428,KC,3D,3H,8C,1
2C,3C,9S,TS,4D,232,7D,TC,QH,QC,0
8C,9H,KS,TH,5C,16,7H,7C,QC,TD,0
8D,3S,KS,7C,6S,111,TH,5H,TS,AD,0
7S,JH,QH,4C,6D,213,AS,KS,TD,8C,1
3H,JH,4H,2C,7D,80,TC,5H,9D,7H,0
JS,8C,4C,TD,2D,69,6S,QC,7C,KS,0
KS,TH,QD,2D,5C,98,7H,4C,9S,3C,0
JC,2D,4C,8H,2H,223,4D,TC,6S,3S,1
5S,AC,AD,9H,KD,160,3S,TH,3H,5D,0
2S,2H,9S,5C,QC,386,6D,TS,KD,AS,0
5C,7C,7H,6D,8S,27,4S,6H,AD,2D,1
AS,6H,7S,KD,3C,171,AH,8C,TC,2H,1
8D,3C,3H,TS,4C,439,JH,6C,AC,JS,0
QS,5H,AC,KC,JH,457,8D,9D,5D,3H,0
QC,7H,TH,5C,8S,420,TC,9D,JC,TD,0
4S,6D,9S,5H,KC,120,2C,AD,KS,8H,0
7C,6C,5D,7S,2D,60,9S,7D,8C,3S,1
TD,KH,2S,KS,8H,392,TS,JD,9H,JS,1
2H,9D,7C,JD,9S,178,KD,6D,TS,2S,0
3H,AS,6C,TD,7C,19,2H,5S,AH,KD,0
2D,TH,9S,6H,9D,122,KH,JH,8D,7C,0
8D,8H,QS,TH,TC,312,5D,3S,7C,AC,0
4S,7D,9S,TC,QD,131,QC,9D,AD,6D,1
2S,4D,7S,QH,KC,372,QS,AC,7D,8D,1
QS,7D,6H,9H,7S,46,AD,KD,9S,8S,0
AC,4D,9H,5H,KC,337,KD,3D,QS,JS,1
7S,3H,TD,KD,JC,84,JH,4S,8H,AC,1
QH,9S,5S,4D,5D,406,AD,AH,9D,2S,1
4D,TH,2C,8H,6H,88,KS,7C,9S,TS,0
7C,6S,9S,7S,8H,467,7D,9C,2H,4S,1
AD,TD,KH,2S,7D,328,6C,3C,4H,7H,0
6H,4D,8S,2S,9H,449,5S,9C,JH,7C,1
9C,3D,4D,AD,2D,124,4S,2S,7S,TS,1
2D,JS,KS,7S,KH,356,AH,7D,7H,QH,1
QH,JD,QC,TS,5D,366,6C,9H,QD,2C,0
AD,3C,4D,6H,8D,116,QH,7H,5H,QD,1
5D,7H,QS,6S,TS,104,8C,QC,JC,QH,0
6C,8S,4C,2H,8D,315,JH,4S,JD,9D,1
4S,8D,AD,2S,9D,272,3S,9H,7H,8S,1
JC,7S,4S,7H,QS,475,3S,9C,4H,9H,0
5S,KC,KD,AS,5C,376,3S,8S,9D,6C,0
AC,AH,QS,7C,8D,25,5S,JD,7S,9S,0
4D,2C,6S,QD,8C,37,9D,AS,2H,7S,0
5C,3D,6C,AS,9S,447,2D,TD,2C,9C,0
3C,AS,QH,KS,4H,145,5S,5H,3S,JC,1
3H,JS,TC,5S,KH,91,8S,2S,5C,8H,0
TH,TS,TC,3S,2D,263,8H,3D,9C,KC,1
3D,4D,9H,2H,AD,380,8S,7D,KS,2D,0
TC,2H,3H,QC,JH,177,9C,7D,KS,KH,0
TS,6S,TD,8S,9C,258,AC,6H,3S,4D,1
JC,7H,2S,JH,9H,30,4H,4S,8D,TH,0
6D,4D,JS,7C,2S,303,9S,4S,9H,6C,0
QD,6S,8D,6H,8H,146,9H,JS,3D,8C,0
7H,9S,KD,9D,AS,42,4S,QD,5C,8S,1
QS,6D,5H,KH,3D,257,8S,JD,6H,JC,0
KD,JD,9H,7H,8D,175,KH,5C,4S,QH,1
5H,TD,9H,JD,3H,493,JH,3S,9S,6S,1
JS,9H,TS,8C,9C,315,5C,QH,TH,4H,1
2S,TH,AC,KH,3D,403,QD,7C,8C,2H,0
QH,TC,2C,8H,AS,279,7C,4C,6D,TD,0
8S,9C,QC,2H,TD,189,JS,6D,6H,JH,0
JH,3S,JD,7D,9H,105,TH,AD,AS,6C,1
3D,TH,6H,JD,TD,335,4C,2S,3S,AH,0
9D,2D,9H,5H,TD,243,TS,3H,AD,TH,0
2H,9H,JD,AD,6S,118,QH,QC,3H,KS,1
4C,6C,4H,5H,2C,347,7C,AD,KH,6D,0
6D,5C,7C,3S,4D,147,AH,7H,3C,9C,0
9D,QD,5H,AH,8S,60,6D,8H,6S,4H,1
2D,2C,9H,7C,9C,328,2S,AS,AD,5H,1
JD,6D,5S,9C,2D,425,2S,4H,4D,9H,0
7H,QD,TH,TD,AS,273,5C,2D,8H,QC,0
5H,7D,JH,JS,8C,475,6C,9D,2C,6S,1
4D,KD,JH,4H,4S,491,7S,8C,AC,KS,0
9S,6C,TH,2D,JC,481,5C,JH,7H,9D,1
6H,AH,QS,7C,4H,255,2H,4S,3D,6D,0
5H,9H,8S,QH,5C,188,KS,JC,7D,9S,0
2C,5C,AH,KH,JH,336,QC,6D,6H,AD,0
AH,4S,JD,AS,3S,294,2S,TH,6C,KH,0
3H,TC,4D,TD,3S,225,6D,2S,AS,8D,0
6D,JD,8C,8S,TD,227,9H,5C,9C,AC,0
JH,5H,KD,4S,8H,473,8S,9S,KH,3D,0
2D,QH,AH,6H,5D,490,KS,5H,5S,QD,0
8D,3H,9S,AH,8H,242,TH,6S,TC,JS,0
8C,3C,TS,AC,6D,296,6C,3S,7D,9C,0
JS,4H,6C,6D,QC,219,7C,AS,AD,7D,0
8D,6S,7S,AH,TC,379,AS,6H,6C,3C,1
6C,AS,2H,TC,KS,205,QD,3C,5H,9D,1
QS,AS,TD,QD,2C,53,2D,8S,6S,8D,1
5S,8C,4H,7C,7D,79,2S,6D,5H,TD,1
KH,6C,2C,JD,JH,415,3D,AD,AC,TC,0
QD,5C,9S,AH,TH,124,KS,2H,3C,QH,0
2D,AC,8H,QC,AD,278,8C,5S,7S,3H,1
8S,QH,JH,AD,9C,298,6C,7C,3H,9D,0
3C,QC,AD,TH,KC,397,6H,4H,QS,7C,0
TD,6H,7H,5C,JS,164,4H,2D,8D,9S,0
4H,9D,QD,4C,AS,344,KC,QC,3S,4D,0
8C,TD,5D,2H,AC,141,3C,JC,AS,4S,0
QD,QC,JH,TD,2H,143,5D,9C,7C,9D,0
KC,QD,6S,8H,9S,108,4C,JH,QC,5S,0
TH,3H,7C,AH,AC,268,4C,5H,QH,5S,0
7D,7C,6S,2S,AC,266,QS,AS,8H,5S,1
QS,8S,2D,4H,AD,166,9C,7D,9D,8H,0
8C,JH,TS,QC,8D,88,5S,7S,6C,KD,0
4D,TS,6C,2H,TC,21,9D,6D,4H,3D,1
7H,KH,6C,5H,7S,305,7D,JH,AC,3D,1
3C,AS,TC,JC,4C,77,KH,6C,TS,8C,1
5H,AH,KD,4D,AC,188,AS,3C,QH,5C,1
6D,6C,5S,5D,7S,160,4D,8S,KC,2C,1
QH,KH,8C,4D,KS,458,TC,4S,AS,3C,1
QS,QD,QC,AH,TC,375,TH,JH,3H,KS,1
TC,5H,KD,3D,AD,220,3S,TS,7D,6S,1
3H,TC,3C,QS,8H,342,KS,7S,6C,6S,0
5C,7C,AS,2S,8H,178,7D,4C,KH,2D,1
8C,JS,AC,3D,5D,182,AD,QS,TS,3S,1
AD,9D,TS,3H,JS,103,5C,2H,9C,2S,0
TC,TH,2D,2C,6S,321,JC,AD,4H,3S,1
AH,TD,KC,5C,8S,54,AS,5S,8H,9C,1
9S,7C,9D,6S,7H,50,AD,8D,6C,QH,1
6S,8S,3H,TD,6D,20,9D,3S,8H,KD,0
9D,TS,5D,JH,7D,343,3D,8C,AH,QC,1
6C,AD,3S,TC,9C,231,6D,5S,5D,8C,1
9S,QC,KH,7D,AH,171,TH,5D,3S,JH,0
6H,TD,8C,KS,7H,394,9C,7S,QH,8D,1
5C,AS,3D,TS,3C,169,7C,KD,2S,JC,1
2C,6H,7H,KS,5D,158,QS,4C,4H,9H,1
8S,KD,2H,5C,8H,139,7C,3S,8C,6D,0
2H,KC,9H,AC,2C,32,JH,3C,9C,4S,0
AD,TH,2H,2C,5S,25,KS,KD,TS,9D,1
9S,3D,QD,TD,6S,69,6D,3C,6C,8D,1
5S,8S,9S,TS,3D,13,TH,QC,7C,TC,1
7C,AH,3S,8H,5D,328,2S,QD,4C,AC,0
8H,6S,TD,7S,9H,277,5S,9D,4C,3D,0
3H,TH,JS,QS,9H,15,TD,2D,8C,5H,0
7H,4S,3D,2S,2H,464,3H,AC,4C,JS,0
TC,5H,QC,8S,6C,138,6H,5C,9D,7D,0
QD,QC,TH,JC,6H,110,3H,9S,3S,8S,1
QC,7H,9S,8C,9H,276,9D,AC,5H,TD,1
4D,7C,KS,8S,4C,486,TC,8H,AH,AD,0
4H,6C,QH,KC,KH,142,2C,TD,4D,5D,0
QC,4C,KD,5S,8C,182,7C,3S,6C,2S,1
6C,QD,KH,QS,AS,12,5S,3S,2S,9H,0
TD,4C,3S,8C,7D,456,QH,7C,6C,6D,1
6H,5S,5D,4D,KC,497,7S,3D,AC,7H,1
8S,AD,JD,5S,KC,193,JC,9S,8C,2H,1
3H,6C,AC,AH,4C,176,8H,9D,5C,JD,0
3S,AH,4D,KD,4S,433,JC,5C,6C,6S,0
AC,8C,AS,2H,QH,273,9S,QS,TD,3S,1
7C,TS,AH,KD,9C,389,3H,4C,7D,2H,0
6H,TH,8C,8D,KS,152,4C,3C,AD,AC,0
3C,JH,KC,AH,4C,153,4S,AD,3D,7H,1
AH,6D,5D,KC,5H,255,4H,AS,7S,QD,1
6D,4S,7H,2C,JS,18,8C,3H,4H,AC,0
KH,TC,TS,2C,TH,290,3D,QH,2S,8C,0
9D,AC,3S,KC,4C,55,JD,9S,JH,8D,1
AH,QS,8C,2D,JC,455,KC,KD,3D,4C,1
9D,7D,9S,6S,2C,445,7H,7S,QH,JH,1
3H,TS,KD,TC,9H,196,3S,5H,9D,5S,0
7H,AH,2H,KH,4S,92,5C,6H,JH,9S,0
KH,QD,9S,4S,7D,71,JS,4H,8C,TD,1
JS,6H,3D,7D,6S,260,5S,3H,QH,6C,0
TH,JD,5S,8D,2C,455,8S,KD,7S,6D,1
4D,AD,AS,4C,6C,440,2H,QH,QS,KH,0
6H,KH,2C,TC,3D,392,9S,9C,8S,9D,1
5D,QH,KH,QC,JH,83,7D,7C,3S,5S,1
JS,3S,8S,JD,QS,171,6D,6H,4C,2H,1
TH,3C,KS,8D,7C,31,JD,KC,3S,AD,1
5D,QC,KS,2S,JD,254,9H,KD,8C,AS,1
JD,4C,8C,6S,8D,460,5H,5S,TC,4D,1
5S,QD,TD,6D,4C,96,7C,7D,9D,QS,0
JH,4S,7H,AC,4H,304,JD,JC,3S,6S,1
9H,7C,KH,KD,7H,173,QS,TD,KS,2C,0
7D,JH,KS,8C,5C,302,7H,8D,6H,4H,0
7H,7C,KH,JH,AS,176,KS,4S,6D,TD,1
JD,8D,4D,KC,JC,276,7H,TH,3D,KH,0
9D,TC,2H,KH,4H,295,6C,7H,9S,AH,0
6D,8D,7H,5H,9D,213,7C,2C,6C,TS,0
7S,3S,5H,8C,7H,329,TC,KS,QC,KC,0
AH,QD,5S,7H,KH,224,9C,QC,4S,4D,1
7D,3D,6C,5H,2S,374,TS,9C,2C,4D,0
8D,KH,JC,TD,7S,32,5C,6H,KC,2D,0
9D,8D,AC,TC,QC,336,3C,6C,JC,TH,1
9S,JD,8D,KC,4S,374,5D,2S,3C,6H,0
TH,QS,3C,2C,TC,120,8H,9D,8D,9C,0
KD,3C,9D,4D,QC,459,3S,JC,8S,QD,0
3D,5D,TS,6H,6S,117,JC,AS,5C,7S,0
QD,4S,8D,2S,AD,280,8H,KH,KC,KS,0
7S,9D,7H,5D,KH,412,KC,5S,JH,6H,1
2C,3S,KD,8D,4H,405,AH,6H,JD,KS,0
4H,6S,9S,3H,9H,265,2D,7S,4D,TC,0
7D,KD,6C,7C,TH,69,4C,AH,JD,6D,0
TH,AS,7C,3C,JD,382,AD,2S,6S,KS,1
JS,7S,3D,AH,JH,59,9S,2D,7D,6S,0
6C,TS,5H,8C,KC,353,9D,6S,7D,9S,0
2H,AS,QC,AD,5H,145,JD,4H,TS,8H,1
TD,6D,QC,2D,9C,94,7H,5S,3S,5D,1
2H,2D,2S,7C,TS,132,KS,JH,TD,QS,0
9H,KD,JS,JD,AH,290,4H,7C,5C,QC,0
2H,8C,6S,2S,2D,415,KD,JS,2C,AS,0
4S,5S,3C,JS,AH,276,3S,KD,AD,5D,0
3H,9H,3D,KH,8C,232,4C,7S,6S,AC,0
6S,TS,9H,3D,6H,51,4C,6C,JC,7H,1
JS,TD,3S,5C,6H,272,9H,4S,AD,6S,0
JD,4S,TH,2S,TC,223,6H,5S,JH,KS,0
7C,6D,QC,QD,5H,101,TH,AS,9C,5C,0
JC,3C,AD,6D,QH,367,2C,7H,KC,TH,0
QH,KD,8H,2H,AS,208,4H,9C,JH,8C,0
QS,JC,5S,5C,TH,341,6C,JH,7C,TS,1
6D,6C,QS,7D,8D,175,6H,4H,KC,2D,1
6C,3C,KS,5S,4S,111,6D,JD,8C,7D,0
TS,3S,8D,TC,3D,272,8S,AD,7C,4S,1
4C,2D,6S,TH,5C,306,JC,JD,AS,QC,1
5S,5D,3D,6S,3C,297,JC,7C,2C,8C,1
QD,KH,7D,TC,4H,469,JD,7H,8D,TD,0
QS,JD,8S,KH,TD,325,3S,KD,7D,8C,1
JC,7S,5D,QC,KD,461,TC,KS,5S,3C,1
9H,AH,6S,8S,KH,366,TD,2H,3C,7S,1
9H,4H,KS,5D,3H,439,2S,9D,JS,3S,1
AS,2H,3D,3S,TS,491,QH,2C,AC,7H,0
JH,TC,7H,JC,TH,460,TS,4C,3H,3C,1
7D,7C,4C,AC,AD,10,6D,8D,2S,QH,0
KC,QS,2S,7D,TD,270,2H,2C,QH,4D,1
7D,AS,8C,2S,AD,159,AH,6C,5C,3S,1
8S,QD,6C,6D,5D,400,8H,TH,JS,2C,1
3C,3H,AC,KH,AS,438,9S,2S,4H,8D,0
7H,JS,6C,TH,5C,398,QH,4H,9H,8S,0
AD,QC,TC,QH,2H,103,3C,6D,AH,2D,0
6S,JH,6H,2D,8H,479,KS,JC,7S,9D,1
5D,9D,KD,5S,KH,288,4D,9H,8H,8C,1
5H,2H,JC,5D,7S,136,AH,AS,KS,8C,1
3S,QD,QC,2H,2S,331,TS,4C,5C,4S,1
6D,JS,3S,JC,AH,493,4H,3C,7H,5S,1
7H,QC,QH,6C,AC,454,JC,9D,8D,KC,0
9H,QD,QH,QC,2H,315,5D,4H,JH,2C,0
6D,KD,7H,QH,TS,99,4H,KS,9D,KC,0
KH,TD,QD,9C,9S,487,6H,6S,2H,QH,0
TH,6S,TC,9C,KD,273,4H,2H,5C,TS,0
JC,KS,7S,8H,2S,323,QH,9H,4D,6S,1
7S,TC,8S,5S,6C,498,KD,QD,4C,7C,0
4C,JH,QC,9S,9H,443,8D,7C,KH,KS,0
4C,QH,AD,TD,8H,373,3D,KH,6H,5D,1
AS,QS,TH,9D,KC,117,5D,7D,AD,7H,0
KD,QS,3H,KS,TC,407,4S,9D,3C,5D,0
6H,AD,KH,7H,9S,466,JS,4C,QH,8C,0
8S,JC,KH,5H,5C,346,7S,KC,AD,6D,1
5H,JH,QS,QC,6S,243,6D,3S,6C,3D,0
2H,8H,4C,9D,AD,154,5D,3D,QS,8C,1
6S,5C,4D,5H,AS,418,TC,JS,8S,9D,1
4H,8C,5S,7H,9D,244,QS,2C,JS,8S,0
8C,TH,JS,AS,9H,144,9S,AD,4D,4S,1
AD,8C,5C,KS,KC,434,2C,5D,JS,AS,0
2D,7C,7D,6H,AS,397,JS,AH,JH,6S,1
JH,TS,9D,KH,7H,357,4C,9C,2S,JS,0
4D,TD,6H,5D,9H,379,8C,7S,AD,QC,1
KH,TS,KD,7H,AH,99,QD,KS,2S,9D,1
2C,8D,6D,3D,7C,172,2H,QS,7D,6C,0
QH,2H,7S,7H,KD,170,4D,8S,6S,TH,0
JH,TS,TD,4H,QS,489,AC,5H,JD,QH,0
2D,JD,7H,5S,4D,86,3C,QH,6C,QC,0
KS,5D,7C,2C,KD,46,TC,3H,9S,6S,1
QD,7D,9H,KD,QC,11,4H,TC,8D,7C,0
9H,KD,JD,JS,KH,75,6D,AH,5S,2C,1
KH,QC,AS,6S,7D,388,7H,2D,3H,AC,0
5D,9C,9H,AS,QD,79,QS,5S,AC,8H,0
QH,JD,9C,5S,4S,238,KD,TC,QD,7H,1
8C,QD,7S,2S,9D,221,3S,TD,TC,9H,0
7D,KD,TH,9C,TS,190,7H,9S,2S,3S,1
9S,TH,AH,2D,6C,466,TD,7S,4C,2C,1
2D,KS,9D,2S,9S,404,4S,TD,5C,4D,0
6H,JS,7S,5C,8H,413,QC,AC,5H,9H,0
6S,9C,5D,QD,8H,160,JD,9S,AD,6C,1
3C,QC,TC,TD,7D,302,8S,AC,6S,JH,1
KD,5D,3H,JC,JD,267,8D,6C,AS,9D,0
2H,TH,KH,5D,KC,336,AS,8D,6C,AD,1
QC,JS,8D,QD,7C,480,AD,AH,AC,JC,1
AC,AS,3C,8C,KC,282,KD,7D,TH,QC,0
2C,4D,5D,JH,5H,381,6C,9D,2D,TS,0
8D,TC,QH,KC,9S,362,2S,5D,AH,JH,0
KC,8H,6C,3D,7H,166,QS,3C,4S,8S,0
7C,5C,JC,3S,6C,47,KS,QH,9C,3D,0
6H,8D,7H,4D,KS,426,KC,8H,5D,2C,0
2H,QD,9S,6S,7H,10,7D,TS,KS,7S,0
2D,3S,KS,3D,TD,468,9S,JH,6H,QS,0
QH,4C,AD,5H,TH,303,3S,TS,2S,3D,0
AS,KS,AH,5H,7D,311,KC,TD,KH,9C,1
5D,2C,8S,3C,KD,83,JS,5H,6S,9H,1
TS,TD,AH,6D,QS,413,JD,4H,KS,8H,0
7S,4S,7C,AS,9D,82,8S,6S,3D,5S,1
AS,2S,6H,8C,5D,284,4H,2D,AC,2H,0
AS,8C,3H,9H,6C,283,3C,5S,4H,AD,0
